sentences,processed_sentences,risk_label
"Workers relocating water lines ran up against a steel beam connected to a Route 65 ramp on the North Shore because the design firm DMJM Harris failed to identify it on project blueprints, authority officials said.",worker relocate water line run up against a steel beam connect to a route ramp on the north shore because the design firm dmjm harris fail to identify it on project blueprint authority official say,1
" Thirteen utility lines under Stanwix Street are not where utility maps show them to be, and finding them will add up to $90,000 to the project's cost.",thirteen utility line under stanwix street be not where utility map show them to be and find them will add up to to the project s cost,1
" After burning through a generous $1 billion contingency fund, the mayor offered no honest accounting for past mistakes, no serious pledge to reduce expenses and no reasonable concessions to economic reality.",after burn through a generous billion contingency fund the mayor offer no honest accounting for past mistake no serious pledge to reduce expense and no reasonable concession to economic reality,1
"On his watch, bloated red tape, numerous design changes and haphazard contract modifications drove costs skyward.",on his watch bloated red tape numerous design change and haphazard contract modification drive cost skyward,1
"Because HART acquired substandard material at premium rates, we have already seen cracked guideways and broken shims before the first train has left its station.",because hart acquire substandard material at premium rate we have already see crack guideway and break shim before the first train have leave its station,1
A community movement - Citizens for Responsible Transportation (CRT) - is trying to push the TRAX alignment off of an old Union Pacific corridor where railroad tracks still snake east and west through neighborhoods.,a community movement citizen for responsible transportation crt be try to push the trax alignment off of an old union pacific corridor where railroad track still snake east and west through neighborhood,1
"Arup director of construction David Caiden says: ""It's a spaghetti of tunnels, utilities, pipes and cables - I've never seen anything like it.""  Tunnellers will have to face geological anomalies along the way.",arup director of construction david caiden say it be a spaghetti of tunnel utility pipe and cable i have never see anything like it tunnellers will have to face geological anomaly along the way,1
"But apart from the technical challenges, there is another problem - how to find enough tunnelling staff to do the job.",but apart from the technical challenge there be another problem how to find enough tunnel staff to do the job,1
"""There's a lot of other tunnelling work going on in New York right now and there's a lot of competition for experienced labour,"" says Bennett.",there be a lot of other tunnelling work go on in new york right now and there be a lot of competition for experienced labour say bennett,1
"District Executive Director Matt Tucker, who was not with the agency when the system was planned, said the cost rose after a series of complications, including initial errors in the scope and design of the system.",district executive director matt tucker who be not with the agency when the system be plan say the cost rise after a series of complication include initial error in the scope and design of the system,1
"Honolulu's rail agency continues to struggle to retain its top-level leaders, those who oversee the largest and arguably most complex public works project in the state's history.",honolulu s rail agency continue to struggle to retain its top level leader those who oversee the large and arguably most complex public work project in the state s history,1
"He's the latest in a string of more than 16 managers, directors or top personnel to leave HART, which has struggled since 2015 to retain institutional knowledge as it works to build the 20-mile rail line.",he be the late in a string of more than manager director or top personnel to leave hart which have struggle since to retain institutional knowledge as it work to build the mile rail line,1
"The city has faced particularly tough challenges acquiring properties owned by Howard Hughes Corp. and Victoria Ward Ltd. in Kakaako, with the parties reportedly about $200 million apart[2] in negotiations as of last December.",the city have face particularly tough challenge acquire property own by howard hughes corp and victoria ward ltd in kakaako with the party reportedly about million apart in negotiation as of last december,1
But there is still no long-term revenue source to finish the 20-mile line from East Kapolei to Ala Moana Center.,but there be still no long term revenue source to finish the mile line from east kapolei to ala moana center,1
Increased costs for staff and equipment are driving an overall increase in operating expenses for the 2018 fiscal year.,increase cost for staff and equipment be drive an overall increase in operating expense for the fiscal year,1
"When the contractors went out to buy concrete and steel, the price had gone up."" About three-quarters of the overrun came from the cost of construction materials; the remainder stemmed from redesign and finance costs from eliminating a spur to the David L.",when the contractor go out to buy concrete and steel the price have go up about three quarter of the overrun come from the cost of construction material the remainder stem from redesign and finance cost from eliminate a spur to the david l,1
"Lawrence Convention Center, along with minor changes that contractors requested, he said.",lawrence convention center along with minor change that contractor request he say,1
"Port Authority officials say cost overruns for the North Shore Connector result from the rising prices of construction materials, such as steel and concrete -- major components of the tunnels and three T stations.",port authority official say cost overrun for the north shore connector result from the rise price of construction material such as steel and concrete major component of the tunnel and three t station,1
The problem was the drastic increase in costs that the transit agency didn't anticipate.,the problem be the drastic increase in cost that the transit agency do not anticipate,1
"The largest contributor to the increase of the North Shore Connector's price tag is $79 million in added costs for building the new Gateway Center T station and above-ground work on the North Shore, Simmonds said.",the large contributor to the increase of the north shore connector s price tag be million in add cost for build the new gateway center t station and above ground work on the north shore simmonds say,1
The cost overruns are amazing; the cars are $10 million more than budgeted.,the cost overrun be amazing the car be million more than budget,1
The modification to the building plans will cost an additional $20 million and take up to two years.,the modification to the building plan will cost an additional million and take up to two year,1
"Rising prices for steel and cement, combined with the cost of fixing soil problems discovered earlier in the North Shore Connector project, will force the authority board to approve an extra $550,000 in spending when it meets next week.",rise price for steel and cement combine with the cost of fix soil problem discover early in the north shore connector project will force the authority board to approve an extra in spend when it meet next week,1
They blamed the high price of construction materials for the expenses tied to construction of new T stations along the 1.2-mile light rail expansion from Downtown to the North Shore.,they blame the high price of construction material for the expense tie to construction of new t station along the mile light rail expansion from downtown to the north shore,1
