news_title,publish_date,sentence,risk_label
'Lie Rail',2014-10-20 00:00:00,"we have railed for years against the planners in Anaheim[2], Santa Ana[3] and particularly the rail fanatics at the Orange County Transportation Authority[4] that ignore all the evidence and promote this costly nonsense on busy streets that need no more congestion, or injuries, or deaths.",0.0
'Lie Rail',2014-10-20 00:00:00,LA Metro's Blue Line from Long Beach into the city has killed more people than any other light rail system in the country.,0.0
'Lie Rail',2014-10-20 00:00:00,Further evidence of transit authorities' inability to deal with this century-old technology was revealed in an LA Times editorial just this morning: No winners in this MTA train wreck[5].,1.0
'Lie Rail',2014-10-20 00:00:00,Note also the MTA is run by former OCTA CEO Arthur Leahy[6] who had built the well-overbudget Minneapolis/St.,1.0
'Lie Rail',2014-10-20 00:00:00,"we are sure it is too much as ask the OCTA, or the Anaheim or Santa Ana city councils to hear a cogent and well- researched anti-rail opinion (that would costs them money Mr. O'Toole does not work for free), but before MILLIONS of Measure M dollars are spent on these boondoggles, maybe an expert presentation would be in order.",0.0
'Lie Rail',2014-10-20 00:00:00,O'Toole has already offered a free opinion of the Anaheim streetcar boondoggle last year[10].,0.0
'Lie Rail',2014-10-20 00:00:00,"here is some selected slides from O'Toole's Virginia presentation with information pertinent to the ridiculous planning efforts for streetcars going on now in the OC's two largest cities: Capacities Comparison of different modes (DD = Double Deck) Project vs. ACTUAL costs for rail systems in six cities Inflation, greed and unions affect light rail construction costs over time The Lie that light rail saves energy Portland, OR transit planners admitted that light rail FAILED to stimulate new TOD (Transit Oriented Development).",0.0
'Lie Rail',2014-10-20 00:00:00,Portland's very costly but lightly used street car system is often touted as a success in city planning.,0.0
"'T' EXTENSION ESTIMATE UP 10%, BUT STILL ON TRACK; TUNNEL,",2006-06-28 00:00:00,"The estimated cost to bore twin tunnels under the Allegheny River, extend the Light Rail Transit system to the North Shore and build three stations is now $435 million -- a 10 percent increase in little more than a year.",1.0
"'T' EXTENSION ESTIMATE UP 10%, BUT STILL ON TRACK; TUNNEL,",2006-06-28 00:00:00,"Nevertheless, Port Authority officials continue to express guarded optimism that the budget-busting North Shore Connector remains on track for a probable September groundbreaking.",1.0
"'T' EXTENSION ESTIMATE UP 10%, BUT STILL ON TRACK; TUNNEL,",2006-06-28 00:00:00,"The $42 million increase in costs became public yesterday when the Southwestern Pennsylvania Commission, planning agency for the 10-county region, released a proposed amendment to its long-range transportation improvement program.",1.0
"'T' EXTENSION ESTIMATE UP 10%, BUT STILL ON TRACK; TUNNEL,",2006-06-28 00:00:00,The SPC must approve the Port Authority's request to keep the agency eligible for an 80 percent share of higher federal funding.,0.0
"'T' EXTENSION ESTIMATE UP 10%, BUT STILL ON TRACK; TUNNEL,",2006-06-28 00:00:00,"""Everyone likes the project but everyone is concerned about the number [cost],"" Port Authority Chief Executive Officer Steve Bland said.",0.0
"'T' EXTENSION ESTIMATE UP 10%, BUT STILL ON TRACK; TUNNEL,",2006-06-28 00:00:00,"""we are tracking [government] progress daily and right now, yes, I am optimistic.",0.0
"'T' EXTENSION ESTIMATE UP 10%, BUT STILL ON TRACK; TUNNEL,",2006-06-28 00:00:00,"No red flags have been raised and no new questions have been asked about issues that have come up"" in federal assessments of the project.",0.0
"'T' EXTENSION ESTIMATE UP 10%, BUT STILL ON TRACK; TUNNEL,",2006-06-28 00:00:00,"If the authority misses the July 15 deadline to award a contract, it will have to bid the project a third time, an unlikely scenario because costs continue to go up, or abandon the project, the more likely scenario because of lukewarm community support and an inability to raise more funding.",1.0
